Country,Specimen,Confirmed,Population,Continent
Afghanistan,1865,4,41128771,Asia
Albania,26542,249,2842321,Europe
Algeria,363,66,44903225,Africa
Anguilla,0,0,15857,North America
Antigua and Barbuda,0,0,93763,North America
Argentina,152526,13705,45510318,South America
Armenia,533,77,2780469,Asia
Aruba,0,0,106445,North America
Australia,203952,11221,26177413,Oceania
Austria,18754,436,8939617,Europe
Azerbaijan,40,0,10358074,Asia
Bahamas,0,0,409984,North America
Bangladesh,9472,451,171186372,Asia
Barbados,0,0,281635,North America
Belarus,2195,97,9534954,Europe
Belgium,736,521,11655930,Europe
Belize,1150,118,405272,North America
Bermuda,0,0,64184,North America
Bhutan,945,128,782455,Asia
Bolivia,943,137,12224110,South America
Bosnia and Herz.,785,0,3233526,Europe
Brazil,44258,2884,215313498,South America
British Virgin Islands,0,0,31305,North America
Bulgaria,1780,96,6781953,Europe
Burkina Faso,178,20,22673762,Africa
Cambodia,3749,15,16767842,Asia
Cameroon,214,32,27914536,Africa
Canada,487599,15398,38454327,North America
Cayman Islands,0,0,68706,North America
Central African Rep.,601,35,5579144,Africa
Chad,74,1,17723315,Africa
Chile,70058,5323,19603733,South America
China,303632,48553,1425887337,Asia
"China, Hong Kong Special Administrative Region",37942,34,7488865,Asia
Colombia,38402,333,51874024,South America
Costa Rica,2258,167,5180829,North America
Côte d'Ivoire,2645,103,27825268,Africa
Croatia,20417,2037,4030358,Europe
Cuba,0,0,11212191,North America
Czechia,11351,567,10493986,Europe
North Korea,240,0,26069416,Asia
Dem. Rep. Congo,1053,25,99010212,Africa
Denmark,229910,16157,5882261,Europe
Dominica,0,0,72737,North America
Dominican Rep.,1368,33,11228821,North America
Ecuador,3081,145,18001000,South America
Egypt,8130,788,110990103,Africa
El Salvador,623,113,6336392,North America
Estonia,3444,180,1326062,Europe
Ethiopia,4048,408,123379924,Africa
Fiji,1343,210,929766,Oceania
Finland,209,99,5540745,Europe
France,377200,19537,64626628,Europe
French Guiana,208,118,304557,South America
Gabon,207,39,2388992,Africa
Georgia,1595,182,3744385,Asia
Germany,4387,572,83369843,Europe
Ghana,6048,1073,33475870,Africa
Greece,170,29,10384971,Europe
Grenada,0,0,125438,North America
Guadeloupe,0,0,395752,North America
Guatemala,1519,0,17843908,North America
Guinea,777,12,13859341,Africa
Haiti,2396,222,11584996,North America
Honduras,1080,162,10432860,North America
Hungary,600,781,9967308,Europe
