date,State,Type,Confirmed
Jan 1 2014,New South Wales,A(H1N1)pdm09,49
Jan 1 2014,New South Wales,A(H3N2),44
Jan 1 2014,New South Wales,A(unsubtyped),155
Jan 1 2014,New South Wales,B,30
Jan 1 2014,New South Wales,C,0
Jan 1 2014,New South Wales,A and B,3
Jan 1 2014,New South Wales,Untyped,0
Jan 1 2014,New South Wales,A(H1N1)pdm09,3
Jan 1 2014,Northern Territory,A(H3N2),28
Jan 1 2014,Northern Territory,A(unsubtyped),45
Jan 1 2014,Northern Territory,B,25
Jan 1 2014,Northern Territory,C,0
Jan 1 2014,Northern Territory,A and B,1
Jan 1 2014,Northern Territory,Untyped,0
Jan 1 2014,Queensland,A(H1N1)pdm09,90
Jan 1 2014,Queensland,A(H3N2),7
Jan 1 2014,Queensland,A(unsubtyped),293
Jan 1 2014,Queensland,B,78
Jan 1 2014,Queensland,C,0
Jan 1 2014,Queensland,A and B,0
Jan 1 2014,Queensland,Untyped,0
Jan 1 2014,South Australia,A(H1N1)pdm09,9
Jan 1 2014,South Australia,A(H3N2),0
Jan 1 2014,South Australia,A(unsubtyped),177
Jan 1 2014,South Australia,B,45
Jan 1 2014,South Australia,C,0
Jan 1 2014,South Australia,A and B,0
Jan 1 2014,South Australia,Untyped,0
Jan 1 2014,Tasmania,A(H1N1)pdm09,5
Jan 1 2014,Tasmania,A(H3N2),8
Jan 1 2014,Tasmania,A(unsubtyped),8
Jan 1 2014,Tasmania,B,2
Jan 1 2014,Tasmania,C,0
Jan 1 2014,Tasmania,A and B,0
Jan 1 2014,Tasmania,Untyped,0
Jan 1 2014,Victoria,A(H1N1)pdm09,18
Jan 1 2014,Victoria,A(H3N2),1
Jan 1 2014,Victoria,A(unsubtyped),231
Jan 1 2014,Victoria,B,23
Jan 1 2014,Victoria,C,0
Jan 1 2014,Victoria,A and B,1
Jan 1 2014,Victoria,Untyped,0
Jan 1 2014,Western Australia,A(H1N1)pdm09,34
Jan 1 2014,Western Australia,A(H3N2),38
Jan 1 2014,Western Australia,A(unsubtyped),52
Jan 1 2014,Western Australia,B,19
Jan 1 2014,Western Australia,C,0
Jan 1 2014,Western Australia,A and B,0
Jan 1 2014,Western Australia,Untyped,0
Feb 1 2014,New South Wales,A(H1N1)pdm09,70
Feb 1 2014,New South Wales,A(H3N2),36
Feb 1 2014,New South Wales,A(unsubtyped),101
Feb 1 2014,New South Wales,B,17
Feb 1 2014,New South Wales,C,0
Feb 1 2014,New South Wales,A and B,0
Feb 1 2014,New South Wales,Untyped,0
Feb 1 2014,Northern Territory,A(H1N1)pdm09,8
Feb 1 2014,Northern Territory,A(H3N2),42
Feb 1 2014,Northern Territory,A(unsubtyped),60
Feb 1 2014,Northern Territory,B,21
Feb 1 2014,Northern Territory,C,0
Feb 1 2014,Northern Territory,A and B,0
Feb 1 2014,Northern Territory,Untyped,0
Feb 1 2014,Queensland,A(H1N1)pdm09,84
Feb 1 2014,Queensland,A(H3N2),9
Feb 1 2014,Queensland,A(unsubtyped),257
Feb 1 2014,Queensland,B,61
Feb 1 2014,Queensland,C,0
Feb 1 2014,Queensland,A and B,0
Feb 1 2014,Queensland,Untyped,0
Feb 1 2014,South Australia,A(H1N1)pdm09,2
Feb 1 2014,South Australia,A(H3N2),0
Feb 1 2014,South Australia,A(unsubtyped),91
Feb 1 2014,South Australia,B,19
Feb 1 2014,South Australia,C,0
Feb 1 2014,South Australia,A and B,0
Feb 1 2014,South Australia,Untyped,0
Feb 1 2014,Tasmania,A(H1N1)pdm09,4
Feb 1 2014,Tasmania,A(H3N2),0
Feb 1 2014,Tasmania,A(unsubtyped),10
Feb 1 2014,Tasmania,B,3
Feb 1 2014,Tasmania,C,0
Feb 1 2014,Tasmania,A and B,0
Feb 1 2014,Tasmania,Untyped,0
Feb 1 2014,Victoria,A(H1N1)pdm09,20
