Dates,States,Cases
Jan 1 2014,New South Wales,281
Jan 1 2014,Northern Territory,102
Jan 1 2014,Queensland,468
Jan 1 2014,South Australia,231
Jan 1 2014,Tasmania,23
Jan 1 2014,Victoria,274
Jan 1 2014,Western Australia,143
Feb 1 2014,New South Wales,224
Feb 1 2014,Northern Territory,131
Feb 1 2014,Queensland,411
Feb 1 2014,South Australia,112
Feb 1 2014,Tasmania,17
Feb 1 2014,Victoria,150
Feb 1 2014,Western Australia,116
Mar 1 2014,New South Wales,215
Mar 1 2014,Northern Territory,32
Mar 1 2014,Queensland,431
Mar 1 2014,South Australia,154
Mar 1 2014,Tasmania,12
Mar 1 2014,Victoria,164
Mar 1 2014,Western Australia,127
Apr 1 2014,New South Wales,204
Apr 1 2014,Northern Territory,29
Apr 1 2014,Queensland,384
Apr 1 2014,South Australia,137
Apr 1 2014,Tasmania,17
Apr 1 2014,Victoria,127
Apr 1 2014,Western Australia,130
May 1 2014,New South Wales,272
May 1 2014,Northern Territory,12
May 1 2014,Queensland,520
May 1 2014,South Australia,137
May 1 2014,Tasmania,21
May 1 2014,Victoria,294
May 1 2014,Western Australia,140
Jun 1 2014,New South Wales,456
Jun 1 2014,Northern Territory,11
Jun 1 2014,Queensland,523
Jun 1 2014,South Australia,223
Jun 1 2014,Tasmania,37
Jun 1 2014,Victoria,401
Jun 1 2014,Western Australia,172
Jul 1 2014,New South Wales,2548
Jul 1 2014,Northern Territory,28
Jul 1 2014,Queensland,1681
Jul 1 2014,South Australia,621
Jul 1 2014,Tasmania,66
Jul 1 2014,Victoria,890
Jul 1 2014,Western Australia,713
Aug 1 2014,New South Wales,11136
Aug 1 2014,Northern Territory,172
Aug 1 2014,Queensland,7535
Aug 1 2014,South Australia,3796
Aug 1 2014,Tasmania,245
Aug 1 2014,Victoria,3486
Aug 1 2014,Western Australia,1905
Sep 1 2014,New South Wales,4191
Sep 1 2014,Northern Territory,193
Sep 1 2014,Queensland,3953
Sep 1 2014,South Australia,3972
Sep 1 2014,Tasmania,173
Sep 1 2014,Victoria,2728
Sep 1 2014,Western Australia,1110
Oct 1 2014,New South Wales,927
Oct 1 2014,Northern Territory,69
Oct 1 2014,Queensland,1313
Oct 1 2014,South Australia,1215
Oct 1 2014,Tasmania,44
Oct 1 2014,Victoria,957
Oct 1 2014,Western Australia,436
Nov 1 2014,New South Wales,200
Nov 1 2014,Northern Territory,20
Nov 1 2014,Queensland,300
Nov 1 2014,South Australia,354
Nov 1 2014,Tasmania,8
Nov 1 2014,Victoria,223
Nov 1 2014,Western Australia,148
Des 1 2014,New South Wales,220
Des 1 2014,Northern Territory,34
Des 1 2014,Queensland,339
Des 1 2014,South Australia,112
Des 1 2014,Tasmania,16
Des 1 2014,Victoria,193
Des 1 2014,Western Australia,110
Jan 1 2015,New South Wales,304
Jan 1 2015,Northern Territory,18
Jan 1 2015,Queensland,520
Jan 1 2015,South Australia,129
Jan 1 2015,Tasmania,6
Jan 1 2015,Victoria,180
Jan 1 2015,Western Australia,170
Feb 1 2015,New South Wales,351
Feb 1 2015,Northern Territory,9
Feb 1 2015,Queensland,379
Feb 1 2015,South Australia,211
Feb 1 2015,Tasmania,7
Feb 1 2015,Victoria,186
Feb 1 2015,Western Australia,168
Mar 1 2015,New South Wales,408
Mar 1 2015,Northern Territory,11
Mar 1 2015,Queensland,473
Mar 1 2015,South Australia,350
Mar 1 2015,Tasmania,17
Mar 1 2015,Victoria,249
Mar 1 2015,Western Australia,160
Apr 1 2015,New South Wales,370
Apr 1 2015,Northern Territory,16
Apr 1 2015,Queensland,569
Apr 1 2015,South Australia,492
Apr 1 2015,Tasmania,33
Apr 1 2015,Victoria,360
Apr 1 2015,Western Australia,209
May 1 2015,New South Wales,468
May 1 2015,Northern Territory,17
May 1 2015,Queensland,841
May 1 2015,South Australia,540
May 1 2015,Tasmania,38
May 1 2015,Victoria,497
May 1 2015,Western Australia,361
Jun 1 2015,New South Wales,884
Jun 1 2015,Northern Territory,14
Jun 1 2015,Queensland,996
Jun 1 2015,South Australia,830
Jun 1 2015,Tasmania,58
Jun 1 2015,Victoria,837
Jun 1 2015,Western Australia,484
Jul 1 2015,New South Wales,3110
Jul 1 2015,Northern Territory,39
Jul 1 2015,Queensland,3536
Jul 1 2015,South Australia,2527
Jul 1 2015,Tasmania,152
Jul 1 2015,Victoria,2832
Jul 1 2015,Western Australia,1099
Aug 1 2015,New South Wales,11349
Aug 1 2015,Northern Territory,109
Aug 1 2015,Queensland,10880
Aug 1 2015,South Australia,4941
Aug 1 2015,Tasmania,454
Aug 1 2015,Victoria,5969
Aug 1 2015,Western Australia,1256
Sep 1 2015,New South Wales,10527
Sep 1 2015,Northern Territory,171
Sep 1 2015,Queensland,7624
Sep 1 2015,South Australia,4113
Sep 1 2015,Tasmania,503
Sep 1 2015,Victoria,4876
Sep 1 2015,Western Australia,1230
Oct 1 2015,New South Wales,2051
Oct 1 2015,Northern Territory,135
Oct 1 2015,Queensland,1655
Oct 1 2015,South Australia,1327
